Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,25,23,30,0.0,0,0
2016,5,26,0,0,1.1,20,9
2016,5,26,0,30,0.0,0,0
2016,5,26,1,0,1.1,190,8
2016,5,26,1,30,0.0,0,0
2016,5,26,2,0,0.0,0,0
2016,5,26,2,30,0.0,0,0
2016,5,26,3,0,2.5,210,11
2016,5,26,3,30,2.5,120,13
2016,5,26,4,0,1.4,360,9
2016,5,26,4,30,3.1,270,15
2016,5,26,5,0,1.4,190,9
2016,5,26,5,30,0.0,0,9
2016,5,26,6,0,2.5,360,13
2016,5,26,6,30,2.2,110,11
2016,5,26,7,0,0.0,0,4
2016,5,26,7,30,4.7,20,18
2016,5,26,8,0,3.1,350,15
2016,5,26,8,30,7.2,30,33
2016,5,26,9,0,6.1,30,28
2016,5,26,9,30,5.8,20,26
2016,5,26,10,0,4.7,40,21
2016,5,26,10,30,4.7,40,22
2016,5,26,11,0,7.8,360,41
2016,5,26,11,30,8.3,340,39
2016,5,26,12,0,7.2,340,37
2016,5,26,12,30,6.7,350,37
2016,5,26,13,0,8.3,330,37
2016,5,26,13,30,6.1,340,31
2016,5,26,14,0,8.6,310,39
2016,5,26,14,30,7.8,300,42
2016,5,26,15,0,5.8,320,33
2016,5,26,15,30,6.7,320,31
2016,5,26,16,0,6.7,310,35
2016,5,26,16,30,4.2,310,21
2016,5,26,17,0,2.5,330,15
2016,5,26,17,30,3.6,310,22
2016,5,26,18,0,5.0,330,26
2016,5,26,18,30,3.1,330,17
2016,5,26,19,0,2.5,310,13
2016,5,26,19,30,1.4,100,8
2016,5,26,20,0,0.6,300,8
2016,5,26,20,30,1.4,340,9
2016,5,26,21,0,1.1,300,11
2016,5,26,21,30,2.5,290,17
2016,5,26,22,0,3.6,280,18
2016,5,26,22,30,3.6,260,21
2016,5,26,23,0,4.2,260,22
2016,5,26,23,30,3.6,270,15
2016,5,27,0,0,3.6,250,17
