Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in  m/s
2016,5,25,23,30,0,0,0
2016,5,26,0,0,4,20,9
2016,5,26,0,30,0,0,0
2016,5,26,1,0,4,190,8
2016,5,26,1,30,0,0,0
2016,5,26,2,0,0,0,0
2016,5,26,2,30,0,0,0
2016,5,26,3,0,9,210,11
2016,5,26,3,30,9,120,13
2016,5,26,4,0,5,360,9
2016,5,26,4,30,11,270,15
2016,5,26,5,0,5,190,9
2016,5,26,5,30,0,0,9
2016,5,26,6,0,9,360,13
2016,5,26,6,30,8,110,11
2016,5,26,7,0,0,0,4
2016,5,26,7,30,17,20,18
2016,5,26,8,0,11,350,15
2016,5,26,8,30,26,30,33
2016,5,26,9,0,22,30,28
2016,5,26,9,30,21,20,26
2016,5,26,10,0,17,40,21
2016,5,26,10,30,17,40,22
2016,5,26,11,0,28,360,41
2016,5,26,11,30,30,340,39
2016,5,26,12,0,26,340,37
2016,5,26,12,30,24,350,37
2016,5,26,13,0,30,330,37
2016,5,26,13,30,22,340,31
2016,5,26,14,0,31,310,39
2016,5,26,14,30,28,300,42
2016,5,26,15,0,21,320,33
2016,5,26,15,30,24,320,31
2016,5,26,16,0,24,310,35
2016,5,26,16,30,15,310,21
2016,5,26,17,0,9,330,15
2016,5,26,17,30,13,310,22
2016,5,26,18,0,18,330,26
2016,5,26,18,30,11,330,17
2016,5,26,19,0,9,310,13
2016,5,26,19,30,5,100,8
2016,5,26,20,0,2,300,8
2016,5,26,20,30,5,340,9
2016,5,26,21,0,4,300,11
2016,5,26,21,30,9,290,17
2016,5,26,22,0,13,280,18
2016,5,26,22,30,13,260,21
2016,5,26,23,0,15,260,22
2016,5,26,23,30,13,270,15
2016,5,27,0,0,13,250,17
2016,5,27,0,30,21,230,28
2016,5,27,1,0,18,250,35
2016,5,27,1,30,15,250,24
2016,5,27,2,0,31,270,39
2016,5,27,2,30,8,160,15
2016,5,27,3,0,9,250,13
2016,5,27,3,30,15,290,22
2016,5,27,4,0,17,280,21
2016,5,27,4,30,17,280,22
2016,5,27,5,0,21,270,33
2016,5,27,5,30,24,290,33
2016,5,27,6,0,30,270,39
2016,5,27,6,30,30,280,42
2016,5,27,7,0,17,280,24
2016,5,27,7,30,13,290,18
2016,5,27,8,0,9,320,15
2016,5,27,8,30,22,270,37
2016,5,27,9,0,22,280,31
2016,5,27,9,30,22,280,37
2016,5,27,10,0,26,270,33
2016,5,27,10,30,21,250,31
2016,5,27,11,0,17,260,26
2016,5,27,11,30,30,270,42
2016,5,27,12,0,26,260,44
2016,5,27,12,30,28,260,39
2016,5,27,13,0,30,260,41
2016,5,27,13,30,30,260,39
2016,5,27,14,0,28,260,39
2016,5,27,14,30,30,250,46
2016,5,27,15,0,30,260,41
2016,5,27,15,30,37,260,55
2016,5,27,16,0,33,250,52
2016,5,27,16,30,22,260,37
2016,5,27,17,0,26,250,48
2016,5,27,17,30,18,250,28
2016,5,27,18,0,30,250,41
2016,5,27,18,30,28,250,50
2016,5,27,19,0,26,250,39
2016,5,27,19,30,18,260,31
2016,5,27,20,0,21,270,33
2016,5,27,20,30,13,300,17
2016,5,27,21,0,18,280,28
2016,5,27,21,30,21,270,33
2016,5,27,22,0,17,270,24
2016,5,27,22,30,13,270,26
2016,5,27,23,0,9,270,13
2016,5,27,23,30,8,300,9
2016,5,28,0,0,11,60,13
2016,5,28,0,30,11,40,13
2016,5,28,1,0,9,360,13
2016,5,28,1,30,9,350,11
2016,5,28,2,0,4,10,9
2016,5,28,2,30,9,350,13
2016,5,28,3,0,11,10,13
2016,5,28,3,30,5,10,8
2016,5,28,4,0,5,10,8
2016,5,28,4,30,8,70,9
2016,5,28,5,0,8,110,9
2016,5,28,5,30,5,350,11
2016,5,28,6,0,2,250,9
2016,5,28,6,30,0,0,0
2016,5,28,7,0,5,40,9
2016,5,28,7,30,4,330,8
2016,5,28,8,0,9,30,11
2016,5,28,8,30,11,340,15
2016,5,28,9,0,11,10,17
2016,5,28,9,30,11,30,15
2016,5,28,10,0,11,50,15
2016,5,28,10,30,4,130,9
2016,5,28,11,0,13,230,21
2016,5,28,11,30,9,230,11
2016,5,28,12,0,11,250,13
2016,5,28,12,30,13,260,18
2016,5,28,13,0,11,200,15
2016,5,28,13,30,9,250,17
2016,5,28,14,0,26,240,39
2016,5,28,14,30,24,270,33
2016,5,28,15,0,22,280,30
2016,5,28,15,30,21,290,28
2016,5,28,16,0,24,270,35
2016,5,28,16,30,26,270,35
2016,5,28,17,0,13,270,21
2016,5,28,17,30,22,260,30
2016,5,28,18,0,22,250,31
2016,5,28,18,30,15,260,18
2016,5,28,19,0,21,250,30
2016,5,28,19,30,13,260,18
2016,5,28,20,0,11,270,18
2016,5,28,20,30,8,250,13
2016,5,28,21,0,0,0,5
2016,5,28,21,30,0,0,0
2016,5,28,22,0,5,30,8
2016,5,28,22,30,2,20,9
2016,5,28,23,0,0,0,0
2016,5,28,23,30,4,70,9
2016,5,29,0,0,4,10,9
2016,5,29,0,30,5,320,9
2016,5,29,1,0,0,0,8
2016,5,29,1,30,4,140,8
2016,5,29,2,0,2,100,8
2016,5,29,2,30,2,60,8
2016,5,29,3,0,2,110,5
2016,5,29,3,30,2,60,8
2016,5,29,4,0,2,330,8
2016,5,29,4,30,0,0,0
2016,5,29,5,0,2,230,9
2016,5,29,5,30,2,100,8
2016,5,29,6,0,2,120,8
2016,5,29,6,30,0,0,0
2016,5,29,7,0,0,0,0
2016,5,29,7,30,2,190,9
2016,5,29,8,0,0,0,5
2016,5,29,8,30,2,50,5
2016,5,29,9,0,5,110,8
2016,5,29,9,30,0,0,5
2016,5,29,10,0,4,330,9
2016,5,29,10,30,11,250,15
2016,5,29,11,0,13,190,21
2016,5,29,11,30,8,320,17
2016,5,29,12,0,8,240,17
2016,5,29,12,30,9,310,15
2016,5,29,13,0,8,230,13
2016,5,29,13,30,5,30,11
2016,5,29,14,0,4,260,11
2016,5,29,14,30,5,170,11
2016,5,29,15,0,13,60,17
2016,5,29,15,30,13,70,17
2016,5,29,16,0,11,70,13
2016,5,29,16,30,9,50,11
2016,5,29,17,0,2,50,5
2016,5,29,17,30,5,260,9
2016,5,29,18,0,8,210,13
2016,5,29,18,30,9,260,13
2016,5,29,19,0,5,240,9
2016,5,29,19,30,5,250,8
2016,5,29,20,0,9,110,11
2016,5,29,20,30,0,0,0
2016,5,29,21,0,8,180,9
2016,5,29,21,30,0,0,0
2016,5,29,22,0,0,0,0
2016,5,29,22,30,4,20,8
2016,5,29,23,0,2,360,5
2016,5,29,23,30,0,0,0
2016,5,30,0,0,4,320,8
2016,5,30,0,30,2,80,8
2016,5,30,1,0,0,0,0
2016,5,30,1,30,0,0,0
2016,5,30,2,0,0,0,0
2016,5,30,2,30,0,0,0
2016,5,30,3,0,0,0,0
2016,5,30,3,30,0,0,0
2016,5,30,4,0,0,0,0
2016,5,30,4,30,0,0,0
2016,5,30,5,0,0,0,0
2016,5,30,5,30,0,0,0
2016,5,30,6,0,0,0,0
2016,5,30,6,30,0,0,4
2016,5,30,7,0,0,0,0
2016,5,30,7,30,0,0,0
2016,5,30,8,0,0,0,0
2016,5,30,8,30,0,0,0
2016,5,30,9,0,8,340,9
2016,5,30,9,30,4,330,8
2016,5,30,10,0,2,360,8
2016,5,30,10,30,5,20,11
2016,5,30,11,0,8,60,13
2016,5,30,11,30,4,310,9
2016,5,30,12,0,5,120,11
2016,5,30,12,30,5,90,11
2016,5,30,13,0,9,90,13
2016,5,30,13,30,8,100,11
2016,5,30,14,0,9,80,11
2016,5,30,14,30,8,100,11
2016,5,30,15,0,8,90,11
2016,5,30,15,30,5,110,9
2016,5,30,16,0,0,0,5
2016,5,30,16,30,8,20,9
2016,5,30,17,0,8,340,9
2016,5,30,17,30,8,340,8
2016,5,30,18,0,8,290,9
2016,5,30,18,30,5,270,9
2016,5,30,19,0,5,250,8
2016,5,30,19,30,11,160,17
2016,5,30,20,0,5,340,11
2016,5,30,20,30,8,270,9
2016,5,30,21,0,0,0,0
2016,5,30,21,30,0,0,0
2016,5,30,22,0,0,0,0
2016,5,30,22,30,0,0,0
2016,5,30,23,0,4,340,8
2016,5,30,23,30,5,10,8
2016,5,31,0,0,0,0,0
2016,5,31,0,30,2,90,8
2016,5,31,1,0,0,0,0
2016,5,31,1,30,8,110,8
2016,5,31,2,0,4,10,8
2016,5,31,2,30,0,0,0
2016,5,31,3,0,0,0,0
2016,5,31,3,30,0,0,0
2016,5,31,4,0,0,0,0
2016,5,31,4,30,0,0,0
2016,5,31,5,0,0,0,0
2016,5,31,5,30,0,0,0
2016,5,31,6,0,5,40,8
2016,5,31,6,30,5,90,8
2016,5,31,7,0,5,100,8
2016,5,31,7,30,0,0,0
2016,5,31,8,0,0,0,0
2016,5,31,8,30,5,360,8
2016,5,31,9,0,2,110,8
2016,5,31,9,30,4,50,8
2016,5,31,10,0,5,360,9
2016,5,31,10,30,   ,   ,   
2016,5,31,11,0,8,150,9
2016,5,31,11,30,9,170,15
2016,5,31,12,0,9,130,15
2016,5,31,12,30,11,130,17
2016,5,31,13,0,13,50,17
2016,5,31,13,30,11,140,13
2016,5,31,14,0,13,130,22
2016,5,31,14,30,24,150,30
2016,5,31,15,0,18,140,22
2016,5,31,15,30,17,130,21
2016,5,31,16,0,11,130,15
2016,5,31,16,30,11,160,13
2016,5,31,17,0,9,180,11
2016,5,31,17,30,8,180,9
2016,5,31,18,0,8,180,9
2016,5,31,18,30,9,160,11
2016,5,31,19,0,9,160,13
2016,5,31,19,30,13,180,17
2016,5,31,20,0,11,160,13
2016,5,31,20,30,11,160,15
2016,5,31,21,0,8,180,9
2016,5,31,21,30,11,110,13
2016,5,31,22,0,2,350,8
2016,5,31,22,30,9,250,11
2016,5,31,23,0,4,270,5
2016,5,31,23,30,5,250,8
2016,6,1,0,0,8,170,9
2016,6,1,0,30,2,250,5
2016,6,1,1,0,9,270,11
2016,6,1,1,30,4,240,9
2016,6,1,2,0,0,0,5
2016,6,1,2,30,0,0,0
2016,6,1,3,0,0,0,0
2016,6,1,3,30,8,20,9
2016,6,1,4,0,5,20,9
2016,6,1,4,30,4,30,5
2016,6,1,5,0,0,0,0
2016,6,1,5,30,0,0,0
2016,6,1,6,0,8,200,9
2016,6,1,6,30,5,190,8
2016,6,1,7,0,0,0,0
2016,6,1,7,30,4,340,8
2016,6,1,8,0,0,0,0
2016,6,1,8,30,0,0,0
2016,6,1,9,0,0,0,0
2016,6,1,9,30,4,210,9
2016,6,1,10,0,8,180,9
2016,6,1,10,30,9,190,11
2016,6,1,11,0,4,180,8
2016,6,1,11,30,9,180,11
2016,6,1,12,0,11,220,15
2016,6,1,12,30,11,210,15
2016,6,1,13,0,9,190,17
2016,6,1,13,30,9,230,13
2016,6,1,14,0,11,140,15
2016,6,1,14,30,9,120,13
2016,6,1,15,0,9,150,13
2016,6,1,15,30,11,130,18
2016,6,1,16,0,8,80,11
2016,6,1,16,30,11,100,17
2016,6,1,17,0,8,150,9
2016,6,1,17,30,5,200,9
2016,6,1,18,0,11,220,13
2016,6,1,18,30,9,240,11
2016,6,1,19,0,8,240,9
2016,6,1,19,30,8,240,9
2016,6,1,20,0,5,220,8
2016,6,1,20,30,8,220,9
2016,6,1,21,0,0,0,0
2016,6,1,21,30,0,0,0
2016,6,1,22,0,2,300,5
2016,6,1,22,30,2,300,5
2016,6,1,23,0,0,0,0
2016,6,1,23,30,0,0,0
2016,6,2,0,0,0,0,0
2016,6,2,0,30,0,0,0
2016,6,2,1,0,0,0,5
2016,6,2,1,30,5,320,9
2016,6,2,2,0,2,90,5
2016,6,2,2,30,0,0,0
2016,6,2,3,0,8,120,9
2016,6,2,3,30,5,180,8
2016,6,2,4,0,5,300,9
2016,6,2,4,30,4,250,9
2016,6,2,5,0,4,280,8
2016,6,2,5,30,8,120,9
2016,6,2,6,0,0,0,0
2016,6,2,6,30,0,0,0
2016,6,2,7,0,2,30,5
2016,6,2,7,30,0,0,0
2016,6,2,8,0,2,30,8
2016,6,2,8,30,2,150,8
2016,6,2,9,0,9,20,11
2016,6,2,9,30,5,60,9
2016,6,2,10,0,8,90,11
2016,6,2,10,30,2,110,8
2016,6,2,11,0,2,360,9
2016,6,2,11,30,5,310,9
2016,6,2,12,0,5,360,9
2016,6,2,12,30,8,140,13
2016,6,2,13,0,8,180,11
2016,6,2,13,30,8,20,13
2016,6,2,14,0,9,80,17
2016,6,2,14,30,9,150,13
2016,6,2,15,0,5,140,9
2016,6,2,15,30,5,220,8
2016,6,2,16,0,0,0,0
2016,6,2,16,30,4,130,9
2016,6,2,17,0,11,140,15
2016,6,2,17,30,13,130,17
2016,6,2,18,0,9,150,11
2016,6,2,18,30,5,240,8
2016,6,2,19,0,8,260,9
2016,6,2,19,30,8,250,9
2016,6,2,20,0,9,230,9
2016,6,2,20,30,8,220,9
2016,6,2,21,0,9,220,9
2016,6,2,21,30,9,210,13
2016,6,2,22,0,5,210,8
2016,6,2,22,30,8,220,9
2016,6,2,23,0,5,220,8
2016,6,2,23,30,8,220,9
2016,6,3,0,0,2,230,5
2016,6,3,0,30,2,270,5
2016,6,3,1,0,0,0,0
2016,6,3,1,30,0,0,0
2016,6,3,2,0,0,0,0
2016,6,3,2,30,0,0,0
2016,6,3,3,0,0,0,0
2016,6,3,3,30,0,0,0
2016,6,3,4,0,0,0,0
2016,6,3,4,30,0,0,0
2016,6,3,5,0,0,0,0
2016,6,3,5,30,0,0,5
2016,6,3,6,0,0,0,8
2016,6,3,6,30,5,190,8
2016,6,3,7,0,5,200,5
2016,6,3,7,30,0,0,9
2016,6,3,8,0,0,0,4
2016,6,3,8,30,5,360,8
2016,6,3,9,0,9,40,9
2016,6,3,9,30,4,80,9
2016,6,3,10,0,8,130,9
2016,6,3,10,30,5,160,15
2016,6,3,11,0,5,190,9
2016,6,3,11,30,8,200,11
2016,6,3,12,0,5,260,9
2016,6,3,12,30,9,180,13
2016,6,3,13,0,8,210,11
2016,6,3,13,30,8,200,13
2016,6,3,14,0,9,170,11
2016,6,3,14,30,9,210,13
2016,6,3,15,0,9,240,11
2016,6,3,15,30,9,250,11
2016,6,3,16,0,11,260,13
2016,6,3,16,30,8,230,11
2016,6,3,17,0,8,250,11
2016,6,3,17,30,8,210,8
2016,6,3,18,0,8,220,9
2016,6,3,18,30,8,210,11
2016,6,3,19,0,8,210,17
2016,6,3,19,30,2,210,8
2016,6,3,20,0,8,220,9
2016,6,3,20,30,9,250,11
2016,6,3,21,0,9,230,11
2016,6,3,21,30,11,240,13
2016,6,3,22,0,9,270,11
2016,6,3,22,30,11,220,13
2016,6,3,23,0,9,230,13
2016,6,3,23,30,9,230,11
2016,6,4,0,0,8,200,9
2016,6,4,0,30,5,250,8
2016,6,4,1,0,8,200,9
2016,6,4,1,30,5,230,9
2016,6,4,2,0,9,220,11
2016,6,4,2,30,8,200,11
2016,6,4,3,0,5,230,9
2016,6,4,3,30,5,230,8
2016,6,4,4,0,0,0,0
2016,6,4,4,30,2,150,8
2016,6,4,5,0,11,130,30
2016,6,4,5,30,8,150,9
2016,6,4,6,0,0,0,4
2016,6,4,6,30,0,0,0
2016,6,4,7,0,0,0,0
2016,6,4,7,30,0,0,0
2016,6,4,8,0,8,210,11
2016,6,4,8,30,9,190,13
2016,6,4,9,0,8,110,9
2016,6,4,9,30,8,180,11
2016,6,4,10,0,11,180,13
2016,6,4,10,30,9,140,15
2016,6,4,11,0,9,150,11
2016,6,4,11,30,11,220,15
2016,6,4,12,0,11,190,17
2016,6,4,12,30,8,210,9
2016,6,4,13,0,8,230,9
2016,6,4,13,30,8,220,13
2016,6,4,14,0,8,10,11
2016,6,4,14,30,28,40,44
2016,6,4,15,0,22,30,39
2016,6,4,15,30,18,30,28
2016,6,4,16,0,18,50,30
2016,6,4,16,30,17,40,22
2016,6,4,17,0,13,30,17
2016,6,4,17,30,8,40,11
2016,6,4,18,0,5,20,13
2016,6,4,18,30,0,0,0
2016,6,4,19,0,0,0,0
2016,6,4,19,30,5,20,9
2016,6,4,20,0,5,350,8
2016,6,4,20,30,0,0,5
2016,6,4,21,0,5,260,9
2016,6,4,21,30,9,190,11
2016,6,4,22,0,9,250,13
2016,6,4,22,30,4,190,11
2016,6,4,23,0,4,200,11
2016,6,4,23,30,9,200,11
2016,6,5,0,0,11,200,15
2016,6,5,0,30,15,210,18
2016,6,5,1,0,17,190,21
2016,6,5,1,30,15,200,21
2016,6,5,2,0,15,230,18
2016,6,5,2,30,17,220,21
2016,6,5,3,0,15,210,18
2016,6,5,3,30,15,210,18
2016,6,5,4,0,13,210,17
2016,6,5,4,30,13,210,17
2016,6,5,5,0,17,230,21
2016,6,5,5,30,15,220,21
2016,6,5,6,0,13,210,21
2016,6,5,6,30,13,210,18
2016,6,5,7,0,17,200,21
2016,6,5,7,30,17,220,24
2016,6,5,8,0,17,230,22
2016,6,5,8,30,17,220,21
2016,6,5,9,0,17,220,24
2016,6,5,9,30,15,310,18
2016,6,5,10,0,9,250,11
2016,6,5,10,30,5,230,5
2016,6,5,11,0,9,220,11
2016,6,5,11,30,11,230,13
2016,6,5,12,0,9,220,13
2016,6,5,12,30,11,220,15
2016,6,5,13,0,11,210,15
2016,6,5,13,30,9,190,11
2016,6,5,14,0,8,180,9
2016,6,5,14,30,9,220,13
2016,6,5,15,0,9,200,13
2016,6,5,15,30,8,190,9
2016,6,5,16,0,9,180,13
2016,6,5,16,30,5,160,9
2016,6,5,17,0,9,190,15
2016,6,5,17,30,13,230,18
2016,6,5,18,0,30,230,44
2016,6,5,18,30,22,230,31
2016,6,5,19,0,18,220,24
2016,6,5,19,30,11,190,13
2016,6,5,20,0,9,220,13
2016,6,5,20,30,11,210,15
2016,6,5,21,0,15,230,22
2016,6,5,21,30,5,240,9
2016,6,5,22,0,5,270,11
2016,6,5,22,30,11,50,13
2016,6,5,23,0,11,50,13
2016,6,5,23,30,11,10,17
2016,6,6,0,0,11,350,13
2016,6,6,0,30,15,330,21
2016,6,6,1,0,13,340,18
2016,6,6,1,30,9,340,15
2016,6,6,2,0,11,330,15
2016,6,6,2,30,15,330,22
2016,6,6,3,0,13,330,17
2016,6,6,3,30,13,320,17
2016,6,6,4,0,11,330,13
2016,6,6,4,30,13,330,18
2016,6,6,5,0,13,310,18
2016,6,6,5,30,24,300,33
2016,6,6,6,0,18,310,24
2016,6,6,6,30,17,310,21
2016,6,6,7,0,9,290,17
2016,6,6,7,30,5,340,8
2016,6,6,8,0,2,320,5
2016,6,6,8,30,5,350,9
2016,6,6,9,0,9,340,13
2016,6,6,9,30,11,330,17
2016,6,6,10,0,9,340,15
2016,6,6,10,30,9,310,15
2016,6,6,11,0,22,250,31
2016,6,6,11,30,21,250,28
2016,6,6,12,0,17,240,30
2016,6,6,12,30,28,230,39
2016,6,6,13,0,26,240,39
2016,6,6,13,30,31,260,41
2016,6,6,14,0,33,250,41
2016,6,6,14,30,30,260,42
2016,6,6,15,0,18,230,22
2016,6,6,15,30,33,260,44
2016,6,6,16,0,24,260,33
2016,6,6,16,30,26,270,41
2016,6,6,17,0,17,260,22
2016,6,6,17,30,18,280,31
2016,6,6,18,0,22,270,35
2016,6,6,18,30,21,280,31
2016,6,6,19,0,11,300,17
2016,6,6,19,30,15,290,24
2016,6,6,20,0,13,320,21
2016,6,6,20,30,13,330,17
2016,6,6,21,0,13,330,18
2016,6,6,21,30,13,320,17
2016,6,6,22,0,11,330,15
2016,6,6,22,30,13,330,17
2016,6,6,23,0,11,310,15
2016,6,6,23,30,9,300,11
2016,6,7,0,0,5,290,8
2016,6,7,0,30,11,280,15
2016,6,7,1,0,13,290,18
2016,6,7,1,30,21,290,30
2016,6,7,2,0,11,310,17
2016,6,7,2,30,13,310,17
2016,6,7,3,0,13,320,22
2016,6,7,3,30,13,300,17
2016,6,7,4,0,11,310,15
2016,6,7,4,30,9,310,17
2016,6,7,5,0,9,10,11
2016,6,7,5,30,11,10,15
2016,6,7,6,0,17,10,21
2016,6,7,6,30,17,360,22
2016,6,7,7,0,13,360,17
