Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Air Temperature in degrees C,Dew point temperature in degrees C,Relative humidity in percentage %,Wind speed in m/s,Wind speed quality,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,21,1,0,14.8,9.8,72,4.1,N,40,4.6
2016,5,21,1,30,15.3,9.7,69,3.1,N,30,3.6
2016,5,21,2,0,13.7,10,78,3.1,N,20,3.6
2016,5,21,2,30,13.9,10,77,3.6,N,40,3.6
2016,5,21,3,0,14.2,9.9,75,3.6,N,40,4.1
2016,5,21,3,30,14,9.9,76,3.6,N,40,4.1
2016,5,21,4,0,14.1,9.6,74,3.1,N,40,4.1
2016,5,21,4,30,14.2,9.7,74,3.6,N,40,4.1
2016,5,21,5,0,14.2,9.5,73,3.6,N,40,3.6
2016,5,21,5,30,14.1,9.4,73,3.6,N,50,4.6
2016,5,21,6,0,13.7,9.4,75,3.6,N,40,4.1
2016,5,21,6,30,14.3,9,70,3.6,N,30,4.1
2016,5,21,7,0,13.4,9,75,3.1,N,40,4.1
2016,5,21,7,30,14.5,8.5,67,4.1,N,30,4.6
2016,5,21,8,0,15.2,8.2,63,4.1,N,30,4.6
2016,5,21,8,30,16.6,8.1,57,5.1,N,20,6.2
2016,5,21,9,0,17.6,7.4,51,6.7,N,20,9.3
2016,5,21,9,30,18.4,7.3,48,6.7,N,20,8.2
2016,5,21,10,0,19.5,7,44,6.2,N,30,8.2
2016,5,21,10,30,20.5,6,39,7.2,N,20,8.7
2016,5,21,11,0,21.1,6.1,38,7.2,N,10,9.8
2016,5,21,11,30,21,6.3,38,7.2,N,360,10.3
2016,5,21,12,0,22.7,6.7,36,7.2,N,10,9.3
2016,5,21,12,30,23.1,5.3,32,7.2,N,360,11.8
2016,5,21,13,0,23.3,5.4,31,7.7,N,350,11.3
2016,5,21,13,30,22.7,7.5,38,7.7,N,330,9.3
2016,5,21,14,0,22.6,7.4,38,7.2,N,330,10.3
2016,5,21,14,30,22.4,7.1,37,8.7,N,330,10.3
2016,5,21,15,0,22.4,7.6,39,7.7,N,330,10.3
2016,5,21,15,30,22.2,7.8,40,7.7,N,340,9.8
2016,5,21,16,0,22.3,7.2,38,6.2,N,350,8.7
2016,5,21,16,30,21.9,7.9,41,4.6,N,350,6.2
2016,5,21,17,0,21.5,8.6,44,3.6,N,360,4.6
2016,5,21,17,30,20.9,7.5,42,3.6,N,360,4.1
2016,5,21,18,0,19.1,8.2,49,3.1,N,360,3.6
2016,5,21,18,30,18.5,7.9,50,4.1,N,40,5.1
2016,5,21,19,0,19.3,8,48,3.1,N,340,4.1
2016,5,21,19,30,18.2,7.8,51,4.1,N,20,5.1
2016,5,21,20,0,17.9,8.1,53,4.1,N,30,5.1
2016,5,21,20,30,18.2,7.8,51,5.1,N,30,7.7
2016,5,21,21,0,18.8,7.3,47,6.7,N,30,8.2
2016,5,21,21,30,19.3,7,45,8.2,N,30,11.3
2016,5,21,22,0,18.9,7.2,47,7.7,N,30,9.8
2016,5,21,22,30,18.6,7.3,48,6.7,N,30,8.2
2016,5,21,23,0,18.7,6.9,46,7.7,N,30,8.7
2016,5,21,23,30,18.9,6.7,45,8.2,N,30,10.3
2016,5,22,0,0,18.7,6.7,46,8.2,N,20,10.8
2016,5,22,0,30,18.5,6.7,46,8.2,N,20,10.3
2016,5,22,1,0,18.7,6.4,45,7.7,N,30,10.3
2016,5,22,1,30,18.6,6.3,45,8.2,N,30,10.3
2016,5,22,2,0,18.8,6,43,9.3,N,30,13.4
2016,5,22,2,30,18.8,5.8,42,8.2,N,30,10.8
2016,5,22,3,0,19.1,5.4,41,8.2,N,30,10.8
2016,5,22,3,30,19.2,5,39,8.2,N,20,10.8
2016,5,22,4,0,18.9,5.1,40,8.7,N,30,10.8
2016,5,22,4,30,18.6,5.2,41,8.7,N,30,10.8
2016,5,22,5,0,18.7,5.1,41,8.7,N,30,11.3
2016,5,22,5,30,18.7,4.8,40,8.7,N,30,11.3
2016,5,22,6,0,18.9,4.5,39,9.8,N,30,13.9
2016,5,22,6,30,18.8,4.7,39,9.3,N,30,12.3
2016,5,22,7,0,18.9,4.5,39,8.2,N,30,10.8
2016,5,22,7,30,18.5,5.1,41,8.7,N,30,11.3
2016,5,22,8,0,19.3,5.2,40,8.2,N,30,10.8
2016,5,22,8,30,20.1,5,37,9.3,N,30,12.3
2016,5,22,9,0,20.9,4.8,35,8.7,N,20,11.8
2016,5,22,9,30,21.9,5.2,34,8.7,N,20,11.3
2016,5,22,10,0,22.7,5,32,8.2,N,10,11.3
2016,5,22,10,30,22.2,6.5,36,7.2,N,330,9.3
2016,5,22,11,0,20.8,8.9,46,6.7,N,340,9.8
2016,5,22,11,30,21.2,9,46,9.8,N,320,13.4
2016,5,22,12,0,20.8,8.9,46,10.8,N,330,14.4
2016,5,22,12,30,17.8,11.6,67,9.3,N,350,12.9
2016,5,22,13,0,17.6,12.4,72,5.7,N,350,9.3
2016,5,22,13,30,17.4,11.5,68,5.7,N,360,8.7
2016,5,22,14,0,17.4,11.5,68,5.1,N,360,7.7
2016,5,22,14,30,17.2,11.9,71,4.6,N,10,6.2
2016,5,22,15,0,17.8,11.2,65,6.7,N,360,9.3
2016,5,22,15,30,18.2,10.8,62,7.2,N,360,9.8
2016,5,22,16,0,18.1,11.7,66,8.7,N,340,11.3
2016,5,22,16,30,17.7,12.3,71,8.2,N,310,11.8
2016,5,22,17,0,15.5,13.9,90,10.3,N,320,14.9
2016,5,22,17,30,15.8,13.7,87,9.3,N,320,13.9
2016,5,22,18,0,16,13.7,86,7.7,N,300,9.3
2016,5,22,18,30,16.2,13,81,5.7,N,300,8.2
