Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Air Temperature in degrees C,Dew point temperature in degrees C,Relative humidity in percentage %,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,25,23,30,14.8,9.8,72,0,0,0
2016,5,26,0,0,15.3,9.7,69,1.1,20,9
2016,5,26,0,30,13.7,10,78,0,0,0
2016,5,26,1,0,13.9,10,77,1.1,190,8
2016,5,26,1,30,14.2,9.9,75,0,0,0
2016,5,26,2,0,14,9.9,76,0,0,0
2016,5,26,2,30,14.1,9.6,74,0,0,0
2016,5,26,3,0,14.2,9.7,74,2.5,210,11
2016,5,26,3,30,14.2,9.5,73,2.5,120,13
2016,5,26,4,0,14.1,9.4,73,1.4,360,9
2016,5,26,4,30,13.7,9.4,75,3.1,270,15
2016,5,26,5,0,14.3,9,70,1.4,190,9
2016,5,26,5,30,13.4,9,75,0,0,9
2016,5,26,6,0,14.5,8.5,67,2.5,360,13
2016,5,26,6,30,15.2,8.2,63,2.2,110,11
2016,5,26,7,0,16.6,8.1,57,0,0,4
2016,5,26,7,30,17.6,7.4,51,4.7,20,18
2016,5,26,8,0,18.4,7.3,48,3.1,350,15
2016,5,26,8,30,19.5,7,44,7.2,30,33
2016,5,26,9,0,20.5,6,39,6.1,30,28
2016,5,26,9,30,21.1,6.1,38,5.8,20,26
2016,5,26,10,0,21,6.3,38,4.7,40,21
2016,5,26,10,30,22.7,6.7,36,4.7,40,22
2016,5,26,11,0,23.1,5.3,32,7.8,360,41
2016,5,26,11,30,23.3,5.4,31,8.3,340,39
2016,5,26,12,0,22.7,7.5,38,7.2,340,37
2016,5,26,12,30,22.6,7.4,38,6.7,350,37
2016,5,26,13,0,22.4,7.1,37,8.3,330,37
2016,5,26,13,30,22.4,7.6,39,6.1,340,31
2016,5,26,14,0,22.2,7.8,40,8.6,310,39
2016,5,26,14,30,22.3,7.2,38,7.8,300,42
2016,5,26,15,0,21.9,7.9,41,5.8,320,33
2016,5,26,15,30,21.5,8.6,44,6.7,320,31
2016,5,26,16,0,20.9,7.5,42,6.7,310,35
2016,5,26,16,30,19.1,8.2,49,4.2,310,21
2016,5,26,17,0,18.5,7.9,50,2.5,330,15
2016,5,26,17,30,19.3,8,48,3.6,310,22
2016,5,26,18,0,18.2,7.8,51,5,330,26
2016,5,26,18,30,17.9,8.1,53,3.1,330,17
2016,5,26,19,0,18.2,7.8,51,2.5,310,13
2016,5,26,19,30,18.8,7.3,47,1.4,100,8
2016,5,26,20,0,19.3,7,45,0.6,300,8
2016,5,26,20,30,18.9,7.2,47,1.4,340,9
2016,5,26,21,0,18.6,7.3,48,1.1,300,11
2016,5,26,21,30,18.7,6.9,46,2.5,290,17
2016,5,26,22,0,18.9,6.7,45,3.6,280,18
2016,5,26,22,30,18.7,6.7,46,3.6,260,21
2016,5,26,23,0,18.5,6.7,46,4.2,260,22
2016,5,26,23,30,18.7,6.4,45,3.6,270,15
2016,5,27,0,0,18.6,6.3,45,3.6,250,17
2016,5,27,0,30,18.8,6,43,5.8,230,28
2016,5,27,1,0,18.8,5.8,42,5,250,35
2016,5,27,1,30,19.1,5.4,41,4.2,250,24
2016,5,27,2,0,19.2,5,39,8.6,270,39
2016,5,27,2,30,18.9,5.1,40,2.2,160,15
2016,5,27,3,0,18.6,5.2,41,2.5,250,13
2016,5,27,3,30,18.7,5.1,41,4.2,290,22
2016,5,27,4,0,18.7,4.8,40,4.7,280,21
2016,5,27,4,30,18.9,4.5,39,4.7,280,22
2016,5,27,5,0,18.8,4.7,39,5.8,270,33
2016,5,27,5,30,18.9,4.5,39,6.7,290,33
2016,5,27,6,0,18.5,5.1,41,8.3,270,39
2016,5,27,6,30,19.3,5.2,40,8.3,280,42
